id_os;Název soudu;Nadřízený soud;Délka řízení ve dnech: Průměr;Délka řízení ve dnech: Medián;Délka řízení ve dnech: Percentil 90;Odvolání v %: Míra odvolání;Odvolání v %: Míra změny rozsudku;Odvolání v %: Celk. míra zm. rozs.;Vyřizování věcí: Obživa+nápad;Vyřizování věcí: Vyřízeno;Vyřizování věcí: Nevyřízeno;Vyřizování věcí: Míra vyřizování;Vyřizování věcí: Disposition time;Počet soudců k 1.1.;Vyřizování věcí na soudce: Obživa+nápad;Vyřizování věcí na soudce: Vyřízeno;Vyřizování věcí na soudce: Nevyřízeno;Vyřizování věcí na soudce: Míra odsouzení v %;Evidenční počet soudců k 1.1.;rok;agenda_typ
1;Praha 1;MS Praha;152.2318;50.5;380.0;38.03231;37.5;14.262116250000002;1156.0;1159.0;138.0;100.25951557093427;43.45987920621225;8.5;136.0;136.35294117647058;16.235294117647058;92.84404;12.0;2024;trestní agenda
2;Praha 2;MS Praha;271.6954;91.0;795.0;27.0548;44.3038;11.986304482400001;543.0;548.0;73.0;100.92081031307552;48.62226277372263;3.5;155.14285714285714;156.57142857142858;20.857142857142858;88.84758;5.0;2024;trestní agenda
3;Praha 3;MS Praha;177.3589;110.0;299.0;28.57143;34.48276;9.852217635468;376.0;364.0;67.0;96.80851063829788;67.18406593406594;3.3;113.93939393939395;110.30303030303031;20.303030303030305;89.69072;4.0;2024;trestní agenda
4;Praha 4;MS Praha;150.0174;67.0;321.0;31.25926;37.43316;11.701328810616001;1510.0;1520.0;146.0;100.66225165562915;35.05921052631579;8.05;187.57763975155277;188.8198757763975;18.136645962732917;95.29881;10.0;2024;trestní agenda
5;Praha 5;MS Praha;126.2358;74.0;298.5;26.94611;28.45528;7.667591049607999;1109.0;1105.0;178.0;99.63931469792607;58.79638009049774;7.5;147.86666666666667;147.33333333333334;23.733333333333334;94.71983;10.0;2024;trestní agenda
6;Praha 6;MS Praha;105.3093;63.0;216.0;14.42308;68.0;9.8076944;663.0;640.0;108.0;96.53092006033182;61.59375000000001;4.9;135.30612244897958;130.6122448979592;22.04081632653061;91.00419;6.0;2024;trestní agenda
7;Praha 7;MS Praha;85.02793;47.0;160.0;12.99435;9.090909;1.1813045336415;375.0;390.0;15.0;104.0;14.03846153846154;3.0;125.0;130.0;5.0;91.34615;5.0;2024;trestní agenda
8;Praha 8;MS Praha;142.9014;84.0;316.0;31.69643;43.33333;13.735118610118997;631.0;657.0;86.0;104.12044374009508;47.77777777777778;7.0;90.14285714285714;93.85714285714286;12.285714285714286;93.3222;6.0;2024;trestní agenda
9;Praha 9;MS Praha;81.82681;50.0;176.0;17.01245;37.68116;6.41048850442;1219.0;1196.0;123.0;98.11320754716981;37.5376254180602;8.0;152.375;149.5;15.375;94.43277;5.0;2024;trestní agenda
10;Praha 10;MS Praha;138.009;70.0;330.0;30.62731;53.50319;16.386587861189;947.0;951.0;119.0;100.42238648363254;45.672975814931654;4.5;210.44444444444446;211.33333333333334;26.444444444444443;94.39252;6.0;2024;trestní agenda
