Věková kategorie;Muž;Žena;Celkový součet;rok
16 - nedovršených 17 let;6;0.0;6;2024
17 - nedovršených 18 let;13;1.0;14;2024
18 - nedovršených 19 let;18;2.0;20;2024
19 - nedovršených 20 let;18;0.0;18;2024
20 - nedovršených 21 let;20;0.0;20;2024
21 - nedovršených 22 let;20;0.0;20;2024
22 - nedovršených 25 let;63;3.0;66;2024
25 - nedovršených 30 let;157;17.0;174;2024
30 - nedovršených 35 let;242;18.0;260;2024
35 - nedovršených 40 let;271;12.0;283;2024
40 - nedovršených 45 let;216;17.0;233;2024
45 - nedovršených 50 let;188;11.0;199;2024
50 - nedovršených 55 let;126;11.0;137;2024
55 - nedovršených 60 let;64;2.0;66;2024
60 - nedovršených 65 let;38;2.0;40;2024
65 - nedovršených 70 let;24;1.0;25;2024
70 - nedovršených 75 let;7;1.0;8;2024
75 - nedovršených 80 let;5;0.0;5;2024
nad 80 let;2;0.0;2;2024
