veznice;kapacita_2024;stav_2024
Bělušice;568.2;578.0
Brno;576.2;444.8
Břeclav;322.5;296.0
České Budějovice;241.8;185.3
Heřmanice;675.0;778.1
Horní Slavkov;707.7;738.5
Hradec Králové;350.8;307.9
Jiřice;766.5;802.2
Karviná;191.0;174.6
Kuřim;490.0;518.6
Kynšperk nad Ohří;813.5;791.1
Liberec;312.0;279.4
Litoměřice;340.2;298.8
Mírov;394.3;439.5
Nové Sedlo;582.5;588.6
Odolov;328.0;276.4
Olomouc;264.0;246.5
Opava;302.5;280.7
Oráčov;464.0;544.7
Ostrava;469.0;416.1
Ostrov;1086.7;1004.3
Pardubice;657.5;700.6
Plzeň;1195.3;1223.3
Praha Pankrác;1248.4;1083.6
Praha Ruzyně;733.0;699.9
Příbram;868.0;625.8
Rapotice;732.3;720.4
Rýnovice;416.0;465.9
Stráž pod Ralskem;633.8;701.8
Světlá nad Sázavou;940.2;822.4
Teplice;134.8;132.4
Valdice;1021.0;920.1
Vinařice;838.7;915.7
Všehrdy;544.0;514.8
Znojmo;156.0;177.1
