mesto;mesic;kapacita odsouzeni;stav odsouzeni;rok;id;kapacita obvineni;kapacita chovanci;kapacita nemocnice;stav obvineni;stav chovanci;stav nemocnice
Bělušice;leden;570;567;2024;10;;;;;;
Bělušice;únor;568;583;2024;10;;;;;;
Bělušice;březen;568;581;2024;10;;;;;;
Bělušice;duben;568;593;2024;10;;;;;;
Bělušice;květen;568;587;2024;10;;;;;;
Bělušice;červen;568;584;2024;10;;;;;;
Bělušice;červenec;568;587;2024;10;;;;;;
Bělušice;srpen;568;604;2024;10;;;;;;
Bělušice;září;568;572;2024;10;;;;;;
Bělušice;říjen;568;552;2024;10;;;;;;
Bělušice;listopad;568;554;2024;10;;;;;;
Bělušice;prosinec;568;572;2024;10;;;;;;
Bělušice;leden;570;567;2023;10;;;;;;
Bělušice;únor;570;567;2023;10;;;;;;
Bělušice;březen;570;594;2023;10;;;;;;
Bělušice;duben;570;593;2023;10;;;;;;
Bělušice;květen;570;605;2023;10;;;;;;
Bělušice;červen;570;610;2023;10;;;;;;
Bělušice;červenec;570;601;2023;10;;;;;;
Bělušice;srpen;570;591;2023;10;;;;;;
Bělušice;září;570;572;2023;10;;;;;;
Bělušice;říjen;570;568;2023;10;;;;;;
Bělušice;listopad;570;556;2023;10;;;;;;
Bělušice;prosinec;570;549;2023;10;;;;;;
Bělušice;leden;570;542;2022;10;;;;;;
Bělušice;únor;570;549;2022;10;;;;;;
Bělušice;březen;570;589;2022;10;;;;;;
Bělušice;duben;570;594;2022;10;;;;;;
Bělušice;květen;570;620;2022;10;;;;;;
Bělušice;červen;570;620;2022;10;;;;;;
Bělušice;červenec;570;625;2022;10;;;;;;
Bělušice;srpen;570;618;2022;10;;;;;;
Bělušice;září;570;614;2022;10;;;;;;
Bělušice;říjen;570;600;2022;10;;;;;;
Bělušice;listopad;570;590;2022;10;;;;;;
Bělušice;prosinec;570;577;2022;10;;;;;;
Bělušice;leden;578;611;2021;10;;;;;;
Bělušice;únor;578;610;2021;10;;;;;;
Bělušice;březen;578;598;2021;10;;;;;;
Bělušice;duben;578;576;2021;10;;;;;;
Bělušice;květen;578;568;2021;10;;;;;;
Bělušice;červen;578;592;2021;10;;;;;;
Bělušice;červenec;578;579;2021;10;;;;;;
Bělušice;srpen;578;605;2021;10;;;;;;
Bělušice;září;578;608;2021;10;;;;;;
Bělušice;říjen;578;600;2021;10;;;;;;
Bělušice;listopad;578;591;2021;10;;;;;;
Bělušice;prosinec;578;550;2021;10;;;;;;
Bělušice;leden;578;648;2020;10;;;;;;
Bělušice;únor;578;640;2020;10;;;;;;
Bělušice;březen;578;674;2020;10;;;;;;
Bělušice;duben;578;653;2020;10;;;;;;
Bělušice;květen;578;647;2020;10;;;;;;
Bělušice;červen;578;638;2020;10;;;;;;
Bělušice;červenec;578;651;2020;10;;;;;;
Bělušice;srpen;578;650;2020;10;;;;;;
Bělušice;září;578;656;2020;10;;;;;;
Bělušice;říjen;578;654;2020;10;;;;;;
Bělušice;listopad;578;626;2020;10;;;;;;
Bělušice;prosinec;578;642;2020;10;;;;;;
Brno;leden;221;235;2024;1;170.0;47.0;113.0;159.0;42.0;30.0
Brno;únor;242;208;2024;1;167.0;47.0;113.0;158.0;42.0;46.0
Brno;březen;242;214;2024;1;167.0;47.0;113.0;166.0;42.0;36.0
Brno;duben;242;219;2024;1;167.0;47.0;113.0;170.0;42.0;38.0
Brno;květen;242;210;2024;1;167.0;47.0;113.0;162.0;43.0;35.0
Brno;červen;246;216;2024;1;167.0;58.0;113.0;155.0;48.0;37.0
Brno;červenec;246;204;2024;1;167.0;58.0;113.0;153.0;49.0;24.0
Brno;srpen;246;199;2024;1;167.0;58.0;113.0;144.0;50.0;44.0
Brno;září;246;186;2024;1;167.0;58.0;113.0;147.0;53.0;44.0
Brno;říjen;246;196;2024;1;167.0;58.0;113.0;157.0;53.0;33.0
Brno;listopad;246;209;2024;1;167.0;58.0;113.0;153.0;54.0;38.0
Brno;prosinec;246;162;2024;1;167.0;58.0;113.0;147.0;55.0;30.0
Brno;leden;221;247;2023;1;170.0;45.0;113.0;135.0;43.0;38.0
Brno;únor;221;224;2023;1;170.0;45.0;113.0;143.0;42.0;37.0
Brno;březen;221;233;2023;1;170.0;45.0;113.0;142.0;40.0;42.0
Brno;duben;221;239;2023;1;170.0;45.0;113.0;150.0;41.0;40.0
Brno;květen;221;245;2023;1;170.0;45.0;113.0;139.0;41.0;30.0
Brno;červen;221;195;2023;1;170.0;47.0;113.0;144.0;45.0;43.0
Brno;červenec;221;234;2023;1;170.0;47.0;113.0;141.0;44.0;43.0
Brno;srpen;221;179;2023;1;170.0;47.0;113.0;155.0;45.0;35.0
Brno;září;221;218;2023;1;170.0;47.0;113.0;165.0;45.0;40.0
Brno;říjen;221;189;2023;1;170.0;47.0;113.0;176.0;47.0;42.0
