mesto;veznice;OBVINĚNÍ dospělí M;OBVINĚNÍ dospělí Ž;OBVINĚNÍ mladiství M;OBVINĚNÍ mladiství Ž;Úhrnem obvinění M;Úhrnem obvinění Ž;obvinění;ODSOUZENÍ s ostrahou nízký stupeň M;ODSOUZENÍ s ostrahou nízký stupeň Ž;ODSOUZENÍ s ostrahou střední stupeň M;ODSOUZENÍ s ostrahou střední stupeň Ž;ODSOUZENÍ s ostrahou vysoký stupeň M;ODSOUZENÍ s ostrahou vysoký stupeň Ž;ODSOUZENÍ ostraha neumístěno M;ODSOUZENÍ ostraha neumístěno Ž;ODSOUZENÍ se zvýšenou ostrahou M;ODSOUZENÍ se zvýšenou ostrahou Ž;ODSOUZENÍ mladiství M;ODSOUZENÍ mladiství Ž;Úhrnem odsouzení M;Úhrnem odsouzení Ž;odsouzení;Úhrnem chovanci M;Úhrnem chovanci Ž;celkem;id;rok;chovanci;nezařazeni;průměr vězňů na 1 den
cizí státní příslušníci;Bělušice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;49.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;51.0;0.0;51.0;0.0;0.0;51.0;10;2024;;;
cizí státní příslušníci;Brno;43.0;2.0;0.0;0.0;43.0;2.0;45.0;1.0;0.0;1.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;53.0;1;2024;;;
cizí státní příslušníci;Brno - nemoc./detence;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;2.0;0.0;9.0;1;2024;;;
cizí státní příslušníci;Břeclav;4.0;0.0;0.0;0.0;4.0;0.0;4.0;14.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;21.0;0.0;0.0;25.0;11;2024;;;
cizí státní příslušníci;České Budějovice;14.0;1.0;0.0;0.0;14.0;1.0;15.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;18.0;2;2024;;;
cizí státní příslušníci;Heřmanice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;23.0;0.0;0.0;23.0;12;2024;;;
cizí státní příslušníci;Horní Slavkov;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;39.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;41.0;0.0;41.0;0.0;0.0;41.0;13;2024;;;
cizí státní příslušníci;Hradec Králové;20.0;0.0;0.0;0.0;20.0;0.0;20.0;4.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;28.0;3;2024;;;
cizí státní příslušníci;Jiřice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;11.0;0.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;0.0;43.0;0.0;0.0;43.0;14;2024;;;
cizí státní příslušníci;Karviná;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0;4.0;15;2024;;;
cizí státní příslušníci;Kuřim;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;0.0;33.0;0.0;0.0;33.0;16;2024;;;
cizí státní příslušníci;Kynšperk nad Ohří;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;48.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.0;0.0;62.0;0.0;0.0;62.0;17;2024;;;
cizí státní příslušníci;Liberec;10.0;0.0;0.0;0.0;10.0;0.0;10.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0;14.0;4;2024;;;
cizí státní příslušníci;Litoměřice;14.0;0.0;0.0;0.0;14.0;0.0;14.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;5.0;1.0;6.0;0.0;0.0;20.0;5;2024;;;
cizí státní příslušníci;Mírov;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;0.0;0.0;36.0;0.0;0.0;0.0;45.0;0.0;45.0;0.0;0.0;45.0;18;2024;;;
cizí státní příslušníci;Nové Sedlo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;3.0;13.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;6.0;29.0;0.0;0.0;29.0;19;2024;;;
cizí státní příslušníci;Odolov;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0;0.0;44.0;0.0;0.0;44.0;20;2024;;;
cizí státní příslušníci;Olomouc;14.0;0.0;0.0;0.0;14.0;0.0;14.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;0.0;0.0;17.0;6;2024;;;
cizí státní příslušníci;Opava;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;11.0;11.0;2.0;0.0;13.0;21;2024;;;
cizí státní příslušníci;Oráčov;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;0.0;41.0;0.0;0.0;41.0;22;2024;;;
cizí státní příslušníci;Ostrava;22.0;0.0;0.0;0.0;22.0;0.0;22.0;0.0;0.0;3.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;6.0;0.0;0.0;28.0;7;2024;;;
cizí státní příslušníci;Ostrov;10.0;1.0;0.0;0.0;10.0;1.0;11.0;0.0;0.0;23.0;0.0;42.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;65.0;1.0;66.0;0.0;0.0;77.0;23;2024;;;
cizí státní příslušníci;Pardubice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;30.0;0.0;30.0;0.0;0.0;30.0;24;2024;;;
cizí státní příslušníci;Plzeň;29.0;1.0;0.0;0.0;29.0;1.0;30.0;0.0;0.0;10.0;0.0;68.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;84.0;0.0;84.0;0.0;0.0;114.0;25;2024;;;
cizí státní příslušníci;Praha Pankrác;154.0;6.0;0.0;0.0;154.0;6.0;160.0;0.0;0.0;13.0;0.0;42.0;1.0;13.0;0.0;0.0;0.0;0.0;0.0;68.0;1.0;69.0;0.0;0.0;229.0;8;2024;;;
cizí státní příslušníci;Praha Pankrác - nemoc./detence;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;8;2024;;;
cizí státní příslušníci;Praha Ruzyně;63.0;2.0;0.0;0.0;63.0;2.0;65.0;1.0;0.0;10.0;5.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;13.0;7.0;20.0;0.0;0.0;85.0;9;2024;;;
cizí státní příslušníci;Příbram;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;34.0;0.0;0.0;34.0;26;2024;;;
cizí státní příslušníci;Rapotice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;0.0;49.0;0.0;0.0;49.0;27;2024;;;
cizí státní příslušníci;Rýnovice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;0.0;31.0;0.0;0.0;31.0;28;2024;;;
cizí státní příslušníci;Stráž pod Ralskem;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;0.0;49.0;0.0;0.0;49.0;29;2024;;;
cizí státní příslušníci;Světlá nad Sázavou;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;26.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;39.0;39.0;0.0;0.0;39.0;30;2024;;;
cizí státní příslušníci;Teplice;4.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0;8.0;35;2024;;;
cizí státní příslušníci;Valdice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;71.0;0.0;0.0;0.0;93.0;0.0;93.0;0.0;0.0;93.0;31;2024;;;
cizí státní příslušníci;Vinařice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88.0;0.0;88.0;0.0;0.0;88.0;32;2024;;;
cizí státní příslušníci;Všehrdy;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;6.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;24.0;0.0;24.0;0.0;0.0;24.0;33;2024;;;
cizí státní příslušníci;Znojmo;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;4.0;34;2024;;;
cizí státní příslušníci;Bělušice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.0;0.0;65.0;0.0;0.0;65.0;10;2023;;;
cizí státní příslušníci;Brno;43.0;2.0;0.0;0.0;43.0;2.0;45.0;1.0;0.0;5.0;0.0;7.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;18.0;0.0;0.0;63.0;1;2023;;;
cizí státní příslušníci;Brno - nemoc./detence;3.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1;2023;;;
cizí státní příslušníci;Břeclav;19.0;0.0;0.0;0.0;19.0;0.0;19.0;17.0;0.0;3.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;24.0;0.0;0.0;43.0;11;2023;;;
cizí státní příslušníci;České Budějovice;10.0;0.0;0.0;0.0;10.0;0.0;10.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;0.0;15.0;2;2023;;;
cizí státní příslušníci;Heřmanice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;23.0;0.0;23.0;0.0;0.0;23.0;12;2023;;;
cizí státní příslušníci;Horní Slavkov;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;40.0;0.0;0.0;40.0;13;2023;;;
