veznice;prum_kapacita_2024;prum_stav_2024
Bělušice;568.2;0
Brno;576.2;0
Břeclav;322.5;0
České Budějovice;241.8;0
Heřmanice;675.0;0
Horní Slavkov;707.7;0
Hradec Králové;350.8;0
Jiřice;766.5;0
Karviná;191.0;0
Kuřim;490.0;0
Kynšperk nad Ohří;813.5;0
Liberec;312.0;0
Litoměřice;340.2;0
Mírov;394.3;0
Nové Sedlo;582.5;0
Odolov;328.0;0
Olomouc;264.0;0
Opava;302.5;0
Oráčov;464.0;0
Ostrava;469.0;0
Ostrov;1086.7;0
Pardubice;657.5;0
Plzeň;1195.3;0
Praha Pankrác;1248.4;0
Praha Ruzyně;733.0;0
Příbram;868.0;0
Rapotice;732.3;0
Rýnovice;416.0;0
Stráž pod Ralskem;633.8;0
Světlá nad Sázavou;940.2;0
Teplice;134.8;0
Valdice;1021.0;0
Vinařice;838.7;0
Všehrdy;544.0;0
Znojmo;156.0;0
