Nejvyšší dosažené vzdělání;Muž;Žena;Celkový součet;Celkem v %;rok
nezjištěno (cizinec), neuvedeno;1.0;0.0;1;0.0087;2024
zvláštní škola;6.0;0.0;6;0.0522;2024
bez základního vzdělání;5.0;0.0;5;0.0435;2024
nedokončené základní;4.0;0.0;4;0.0348;2024
základní vzdělání;42.0;5.0;47;0.4087;2024
vyučení bez maturity;38.0;2.0;40;0.3478;2024
vyučení s maturitou;2.0;1.0;3;0.0261;2024
středoškolské všeobecné vzdělání s maturitou;3.0;1.0;4;0.0348;2024
středoškolské odborné vzdělání s maturitou;1.0;1.0;2;0.0174;2024
vysokoškolské vzdělání - bakalářské;1.0;1.0;2;0.0174;2024
vysokoškolské vzdělání - magisterské;0.0;1.0;1;0.0087;2024
