Nejvyšší dosažené vzdělání;Muž;Žena;Celkový součet;Celkem v %;rok
nezjištěno (cizinec, neuvedeno);54;3.0;57;0.0357;2024
zvláštní škola;24;2.0;26;0.0163;2024
bez základního vzdělání;4;0.0;4;0.0025;2024
nedokončené základní;13;1.0;14;0.0088;2024
základní vzdělání;671;49.0;720;0.4511;2024
vyučení bez maturity;426;22.0;448;0.2807;2024
vyučení s maturitou;21;2.0;23;0.0144;2024
středoškolské vzdělání bez maturity;27;1.0;28;0.0175;2024
středoškolské všeobecné vzdělání s maturitou;48;3.0;51;0.032;2024
středoškolské odborné vzdělání s maturitou;157;13.0;170;0.1065;2024
vyšší odborné;3;0.0;3;0.0019;2024
vysokoškolské vzdělání - bakalářské;17;0.0;17;0.0107;2024
vysokoškolské vzdělání - magisterské;11;0.0;11;0.0069;2024
vysokoškolské vzdělání - inženýr;14;2.0;16;0.01;2024
vysokoškolské vzdělání - doktorské;8;0.0;8;0.005;2024
